,station crossing,cross-y,cross-x,St,Ave,start station latitude,start station longitude,departing age,arriving age,Cluster,Neighborhood,umap-x,umap-y
Pershing Square North,Pershing Square North,Pershing Square North,Pershing Square North,N.A.,N.A.,40.751872999988635,-73.97770599998202,1.6901761683386667,2.1883527660629625,cat-12,Midtown,-17.201248,11.091014
12 Ave & W 40 St,12 Ave & W 40 St,12 Ave,W 40 St,W 40 St,12 Ave,40.76087502000095,-74.00277668001839,1.4351844720017652,1.3868480725623158,cat-8,Lower Manhattan,-6.3634233,6.8914824
West St & Chambers St,West St & Chambers St,West St,Chambers St,West St,N.A.,40.71754833999062,-74.01322068998395,-0.23696682464446894,-0.25705489994879827,cat-8,Lower Manhattan,-6.7241817,6.455872
8 Ave & W 31 St,8 Ave & W 31 St,8 Ave,W 31 St,W 31 St,8 Ave,40.75058534701781,-73.9946848154068,2.172538030424448,0.9346095069572584,cat-12,Midtown,-8.139073,7.374693
E 17 St & Broadway,E 17 St & Broadway,E 17 St,Broadway,E 17 St,N.A.,40.73704983999469,-73.99009295998464,0.14362556197806953,0.26160762731569775,cat-12,Midtown,-11.153826,9.556819
Broadway & E 22 St,Broadway & E 22 St,Broadway,E 22 St,E 22 St,N.A.,40.74034319999643,-73.98955109001913,-0.5269646900947009,-0.5249369457326338,cat-12,Midtown,-12.204087,11.192028
Christopher St & Greenwich St,Christopher St & Greenwich St,Christopher St,Greenwich St,Christopher St,N.A.,40.73291552999403,-74.00711383999227,-0.9913653073438127,-0.19463144439714597,cat-8,Lower Manhattan,-12.147149,10.299928
Broadway & W 60 St,Broadway & W 60 St,Broadway,W 60 St,W 60 St,N.A.,40.76915504999152,-73.98191841001439,0.7965208223511127,1.2973343071023464,cat-9,Upper West Side,-12.986972,11.918819
W 21 St & 6 Ave,W 21 St & 6 Ave,W 21 St,6 Ave,W 21 St,6 Ave,40.741739690008686,-73.99415556000892,1.305063739376692,0.5665689670486245,cat-8,Lower Manhattan,-15.7322855,11.156295
W 20 St & 11 Ave,W 20 St & 11 Ave,W 20 St,11 Ave,W 20 St,11 Ave,40.74674500000712,-74.00775600000551,-0.6313342190169351,-0.8566521214372642,cat-8,Lower Manhattan,3.3486378,-9.872281
Broadway & E 14 St,Broadway & E 14 St,Broadway,E 14 St,E 14 St,N.A.,40.73454566999763,-73.99074141999232,-1.7130234344986093,-1.3672191173636747,cat-8,Lower Manhattan,-8.4842,3.4676998
South End Ave & Liberty St,South End Ave & Liberty St,South End Ave,Liberty St,Liberty St,South End Ave,40.71151200000539,-74.01575599998874,1.5458424290534367,0.9234034152600543,cat-8,Lower Manhattan,-9.014026,4.0981154
Grand Army Plaza & Central Park S,Grand Army Plaza & Central Park S,Grand Army Plaza,Central Park S,N.A.,N.A.,40.76439710000605,-73.9737146500161,1.2754319599223436,1.1807445731637927,cat-9,Upper West Side,5.9380107,-10.433455
6 Ave & W 33 St,6 Ave & W 33 St,6 Ave,W 33 St,W 33 St,6 Ave,40.74901271000247,-73.98848394999767,-1.1030226963707719,-0.9088633993742405,cat-12,Midtown,8.432965,-10.148238
Pier 40 - Hudson River Park,Pier 40 - Hudson River Park,Pier 40 - Hudson River Park,Pier 40 - Hudson River Park,N.A.,N.A.,40.72771407778264,-74.01129573583603,0.5027654867255933,0.1563981042654632,cat-8,Lower Manhattan,8.988575,-9.99417
8 Ave & W 33 St,8 Ave & W 33 St,8 Ave,W 33 St,W 33 St,8 Ave,40.75155099999515,-73.99393400001601,0.6263553883602526,1.1071632583114024,cat-12,Midtown,-7.670984,3.609374
Carmine St & 6 Ave,Carmine St & 6 Ave,Carmine St,6 Ave,Carmine St,6 Ave,40.730385989998545,-74.00214988000539,-1.777408269593252,-1.3334057341442076,cat-8,Lower Manhattan,-11.145021,3.6725523
Lafayette St & E 8 St,Lafayette St & E 8 St,Lafayette St,E 8 St,Lafayette St,N.A.,40.73020660529649,-73.99102628231049,-1.5227777777777192,-1.9425938263379976,cat-8,Lower Manhattan,-12.62305,4.101684
W 41 St & 8 Ave,W 41 St & 8 Ave,W 41 St,8 Ave,W 41 St,8 Ave,40.756405479993795,-73.99002619999469,0.4911909009813371,1.6162084575466906,cat-12,Midtown,2.6118941,3.762731
University Pl & E 14 St,University Pl & E 14 St,University Pl,E 14 St,E 14 St,N.A.,40.7349269500069,-73.99200508999657,-0.7759660486933626,-0.7570011025359236,cat-8,Lower Manhattan,1.0594918,3.9644003
Cleveland Pl & Spring St,Cleveland Pl & Spring St,Cleveland Pl,Spring St,Spring St,N.A.,40.72210378669203,-73.99724900722505,-2.1211949756705053,-2.4412097870413163,cat-8,Lower Manhattan,-5.658269,3.7314231
E 13 St & Avenue A,E 13 St & Avenue A,E 13 St,Avenue A,E 13 St,N.A.,40.729667293934604,-73.98067966103555,-3.894120322984236,-3.913632514817891,cat-8,Lower Manhattan,7.5249834,-10.27699
W 38 St & 8 Ave,W 38 St & 8 Ave,W 38 St,8 Ave,W 38 St,8 Ave,40.75466590999569,-73.99138152000913,0.6640356897735273,1.1983461582635755,cat-12,Midtown,8.149373,-10.070201
Broadway & W 25 St,Broadway & W 25 St,Broadway,W 25 St,W 25 St,N.A.,40.74286877311659,-73.98918628692627,0.3257757929691252,0.36780554918595953,cat-12,Midtown,9.264253,-10.1881
E 24 St & Park Ave S,E 24 St & Park Ave S,E 24 St,Park Ave S,E 24 St,Park Ave S,40.74096373999962,-73.98602213000356,-1.3353197341280065,-2.1857305936073317,cat-12,Midtown,5.6122355,5.088115
Central Park S & 6 Ave,Central Park S & 6 Ave,Central Park S,6 Ave,N.A.,6 Ave,40.765909360003015,-73.97634150999701,1.4014908256881426,1.4967817437097892,cat-9,Upper West Side,7.3763494,-10.526822
W 22 St & 10 Ave,W 22 St & 10 Ave,W 22 St,10 Ave,W 22 St,10 Ave,40.74691958999458,-74.00451886999583,1.0428948273884089,1.089497615614846,cat-8,Lower Manhattan,-16.712772,11.378712
Broadway & W 41 St,Broadway & W 41 St,Broadway,W 41 St,W 41 St,N.A.,40.75513557000738,-73.98658032000525,0.41985083189911165,-0.5437947769817129,cat-12,Midtown,-17.876598,10.34286
W 33 St & 7 Ave,W 33 St & 7 Ave,W 33 St,7 Ave,W 33 St,7 Ave,40.75019995000483,-73.99093084999922,-0.006206896551702812,1.4010261305334097,cat-12,Midtown,-7.72888,7.2072206
1 Ave & E 16 St,1 Ave & E 16 St,1 Ave,E 16 St,E 16 St,1 Ave,40.73221853000721,-73.98165556998966,-2.558576429404866,-2.0358023242165473,cat-12,Midtown,-12.635286,11.122878
North Moore St & Greenwich St,North Moore St & Greenwich St,North Moore St,Greenwich St,North Moore St,N.A.,40.7201952143792,-74.0103006362915,-1.7052159546849452,-2.1142349149904476,cat-8,Lower Manhattan,-16.124851,11.249793
Greenwich Ave & 8 Ave,Greenwich Ave & 8 Ave,Greenwich Ave,8 Ave,N.A.,Greenwich Ave,40.739016912102784,-74.00263761030448,-0.16889312977104964,-0.42008587786267526,cat-8,Lower Manhattan,-16.789879,11.524177
Grand St & Elizabeth St,Grand St & Elizabeth St,Grand St,Elizabeth St,Grand St,N.A.,40.718822000003115,-73.99595999998341,0.15452591354187462,-0.6061148931087246,cat-8,Lower Manhattan,3.2336047,5.2175117
W 22 St & 8 Ave,W 22 St & 8 Ave,W 22 St,8 Ave,W 22 St,8 Ave,40.74475148000054,-73.99915361999123,1.594769673704377,2.7666788632759562,cat-8,Lower Manhattan,2.4521794,4.878653
W 34 St & 11 Ave,W 34 St & 11 Ave,W 34 St,11 Ave,W 34 St,11 Ave,40.755941590002855,-74.00211630000199,-0.603369434416436,-0.6091129871631438,cat-8,Lower Manhattan,2.7829835,4.650434
Cooper Square & Astor Pl,Cooper Square & Astor Pl,Cooper Square,Astor Pl,N.A.,N.A.,40.72951496224225,-73.99075269699097,-2.586539621276188,-3.472925457102747,cat-8,Lower Manhattan,1.5368848,3.8694482
W 18 St & 6 Ave,W 18 St & 6 Ave,W 18 St,6 Ave,W 18 St,6 Ave,40.73971301000631,-73.99456404999438,-0.3141234746888131,-0.34401632457093,cat-12,Midtown,4.9420295,6.002679
Vesey Pl & River Terrace,Vesey Pl & River Terrace,Vesey Pl,River Terrace,N.A.,N.A.,40.715337899997564,-74.01658354000827,0.8210093186494305,0.9076718296223589,cat-8,Lower Manhattan,2.089605,4.0759034
W 31 St & 7 Ave,W 31 St & 7 Ave,W 31 St,7 Ave,W 31 St,7 Ave,40.749155999997754,-73.99159999999789,0.2432104752667783,0.7306393244873561,cat-12,Midtown,5.723418,5.4231586
Washington St & Gansevoort St,Washington St & Gansevoort St,Washington St,Gansevoort St,Washington St,N.A.,40.73932299999854,-74.00811900000478,0.2755522276302145,0.05489409700453507,cat-8,Lower Manhattan,5.3070993,4.4643664
Great Jones St,Great Jones St,Great Jones St,Great Jones St,Great Jones St,N.A.,40.72743422999849,-73.99379024999607,-1.3624725203671915,-2.4996865203761445,cat-8,Lower Manhattan,5.492647,5.157097
W 17 St & 8 Ave,W 17 St & 8 Ave,W 17 St,8 Ave,W 17 St,8 Ave,40.741776029992835,-74.00149746000034,-1.6600888656560073,-2.119128392484299,cat-8,Lower Manhattan,1.4100348,5.2162023
E 47 St & Park Ave,E 47 St & Park Ave,E 47 St,Park Ave,E 47 St,Park Ave,40.755102669996056,-73.97498696000048,1.734197094621095,0.3324264801140089,cat-12,Midtown,4.1625323,5.310826
FDR Drive & E 35 St,FDR Drive & E 35 St,FDR Drive,E 35 St,E 35 St,N.A.,40.74421899999183,-73.97121213999762,-0.19912210694337773,0.4334595428410921,cat-11,Upper East Side,4.561334,5.6913285
E 10 St & Avenue A,E 10 St & Avenue A,E 10 St,Avenue A,E 10 St,N.A.,40.72740793999962,-73.98142005999378,-3.2667644314092286,-4.1569840868905885,cat-8,Lower Manhattan,0.8262422,4.478514
11 Ave & W 27 St,11 Ave & W 27 St,11 Ave,W 27 St,W 27 St,11 Ave,40.751396000001506,-74.00522599999056,-1.01173297370201,-0.6934747583243279,cat-8,Lower Manhattan,4.417106,6.5348153
MacDougal St & Prince St,MacDougal St & Prince St,MacDougal St,Prince St,MacDougal St,N.A.,40.72710257999564,-74.00297088001042,-2.246995273463881,-2.3977915432265036,cat-8,Lower Manhattan,4.2328014,6.602322
Broadway & W 29 St,Broadway & W 29 St,Broadway,W 29 St,W 29 St,N.A.,40.74620090000091,-73.98855722999349,-0.393566050650179,-0.5302242888403725,cat-12,Midtown,1.7874553,6.343587
E 7 St & Avenue A,E 7 St & Avenue A,E 7 St,Avenue A,E 7 St,N.A.,40.726217879997556,-73.98379854998963,-3.8362813656931394,-3.1522258109816903,cat-8,Lower Manhattan,2.3257434,6.3920755
Broadway & W 56 St,Broadway & W 56 St,Broadway,W 56 St,W 56 St,N.A.,40.765265399997915,-73.98192337999599,0.8938915579958575,1.687293610911638,cat-12,Midtown,2.2775662,5.984603
St Marks Pl & 1 Ave,St Marks Pl & 1 Ave,St Marks Pl,1 Ave,N.A.,1 Ave,40.727791259997,-73.98564944999447,-3.4646757915111266,-2.832170701682344,cat-8,Lower Manhattan,6.710684,-10.323725
W 24 St & 7 Ave,W 24 St & 7 Ave,W 24 St,7 Ave,W 24 St,7 Ave,40.744876339999,-73.99529885000082,0.6731248270134529,1.4053188526872873,cat-8,Lower Manhattan,6.203775,-9.9164505
Broadway & W 49 St,Broadway & W 49 St,Broadway,W 49 St,W 49 St,N.A.,40.76068327096524,-73.98452728986742,0.21699418765570044,0.2772873756480294,cat-12,Midtown,-16.711353,10.684287
Allen St & Stanton St,Allen St & Stanton St,Allen St,Stanton St,Allen St,N.A.,40.72205499999916,-73.98911099998763,-2.084409273913707,-2.4272897696839664,cat-8,Lower Manhattan,-17.169832,9.74837
Greenwich St & W Houston St,Greenwich St & W Houston St,Greenwich St,W Houston St,Greenwich St,N.A.,40.72884600000342,-74.00859099999356,-0.4406167523266049,-0.9440193314537737,cat-8,Lower Manhattan,-11.967989,10.31364
10 Ave & W 28 St,10 Ave & W 28 St,10 Ave,W 28 St,W 28 St,10 Ave,40.7506638600022,-74.00176801999321,-1.3674470769663003,-1.1933445661331916,cat-8,Lower Manhattan,-13.262609,11.099507
W 26 St & 8 Ave,W 26 St & 8 Ave,W 26 St,8 Ave,W 26 St,8 Ave,40.74734825000475,-73.99723550998883,0.8540845070422165,1.2471975542291602,cat-8,Lower Manhattan,-13.532744,10.93531
Central Park West & W 72 St,Central Park West & W 72 St,Central Park West,W 72 St,W 72 St,N.A.,40.77579376683579,-73.97620573639871,2.7271958268715935,2.803933910306796,cat-9,Upper West Side,-15.558246,10.676974
Canal St & Rutgers St,Canal St & Rutgers St,Canal St,Rutgers St,Canal St,N.A.,40.714274869999,-73.98990024999131,-0.796298912275688,-1.2754363558960904,cat-8,Lower Manhattan,5.672523,-7.970919
W 15 St & 7 Ave,W 15 St & 7 Ave,W 15 St,7 Ave,W 15 St,7 Ave,40.7393554199966,-73.99931783000908,-0.5002856326764231,0.5994733762433953,cat-8,Lower Manhattan,6.651478,-9.698473
5 Ave & E 73 St,5 Ave & E 73 St,5 Ave,E 73 St,E 73 St,5 Ave,40.77282817000301,-73.9668527600006,2.1239523599469976,2.1512642318498365,cat-9,Upper West Side,9.077506,-9.057188
Gansevoort St & Hudson St,Gansevoort St & Hudson St,Gansevoort St,Hudson St,Gansevoort St,N.A.,40.73944820129801,-74.00507032871245,-1.5095926800472625,-1.4451964101808699,cat-8,Lower Manhattan,5.9342113,-9.7998295
E 53 St & 3 Ave,E 53 St & 3 Ave,E 53 St,3 Ave,E 53 St,3 Ave,40.75763227738866,-73.9693057537079,-0.5960401891252332,-0.6288464343006126,cat-11,Upper East Side,9.847581,-8.984539
Central Park West & W 68 St,Central Park West & W 68 St,Central Park West,W 68 St,W 68 St,N.A.,40.7734065999979,-73.97782541999183,1.6653661464586094,1.8071093468061008,cat-9,Upper West Side,4.5261793,6.39867
W 27 St & 7 Ave,W 27 St & 7 Ave,W 27 St,7 Ave,W 27 St,7 Ave,40.746646999998745,-73.99391499999912,0.9866868381241147,1.4041353383458954,cat-8,Lower Manhattan,3.1123526,5.1702967
W 4 St & 7 Ave S,W 4 St & 7 Ave S,W 4 St,7 Ave S,W 4 St,7 Ave S,40.73401143000192,-74.00293876999369,-0.9559624697335494,-0.8272180451128861,cat-8,Lower Manhattan,3.331542,6.289493
9 Ave & W 45 St,9 Ave & W 45 St,9 Ave,W 45 St,W 45 St,9 Ave,40.7601925200066,-73.99125510000152,0.07103574702114202,0.8271403091557659,cat-12,Midtown,3.070331,6.556327
E 39 St & 2 Ave,E 39 St & 2 Ave,E 39 St,2 Ave,E 39 St,2 Ave,40.74780372999509,-73.97344189999085,-1.5166794773251695,-1.273429056662053,cat-12,Midtown,2.5434055,5.966284
E 48 St & 5 Ave,E 48 St & 5 Ave,E 48 St,5 Ave,E 48 St,5 Ave,40.757245679121944,-73.97805914282799,0.7751961840283457,0.8212700841622791,cat-12,Midtown,3.7802424,6.911068
E 33 St & 1 Ave,E 33 St & 1 Ave,E 33 St,1 Ave,E 33 St,1 Ave,40.74322681431805,-73.97449783980845,-2.1803480671492252,-2.5860257838612597,cat-12,Midtown,5.0676646,5.7915154
E 16 St & 5 Ave,E 16 St & 5 Ave,E 16 St,5 Ave,E 16 St,5 Ave,40.73726185999665,-73.99238966999414,-1.211289327575514,-1.2952999381570862,cat-8,Lower Manhattan,4.6375356,5.728251
1 Ave & E 68 St,1 Ave & E 68 St,1 Ave,E 68 St,E 68 St,1 Ave,40.765005249997124,-73.95818491000583,-0.4203368876526383,-0.27520648278004956,cat-11,Upper East Side,3.0862327,6.1743007
E 32 St & Park Ave,E 32 St & Park Ave,E 32 St,Park Ave,E 32 St,Park Ave,40.74571210000292,-73.98194829000728,-1.0840961986036746,-0.7712324393357903,cat-12,Midtown,5.1300716,5.4842324
Columbus Ave & W 72 St,Columbus Ave & W 72 St,Columbus Ave,W 72 St,W 72 St,Columbus Ave,40.777057500002634,-73.97898474999539,1.5324332712600608,1.6709898912836252,cat-9,Upper West Side,4.581001,6.3032327
Barrow St & Hudson St,Barrow St & Hudson St,Barrow St,Hudson St,Barrow St,N.A.,40.73172427999668,-74.00674436001142,-0.2618825722274778,-0.6713889744378321,cat-8,Lower Manhattan,2.2325153,5.878216
Centre St & Chambers St,Centre St & Chambers St,Centre St,Chambers St,Centre St,N.A.,40.71273266000173,-74.00460729999534,0.8222778473091239,1.9029979595040913,cat-8,Lower Manhattan,1.3024482,4.2417088
7 Ave & Central Park South,7 Ave & Central Park South,7 Ave,Central Park South,N.A.,7 Ave,40.76674055905428,-73.9790689945221,0.6645797464391308,1.3001277139208014,cat-9,Upper West Side,3.0936303,4.49728
Little West St & 1 Pl,Little West St & 1 Pl,Little West St,1 Pl,Little West St,N.A.,40.705692540004264,-74.01677684999427,1.9467168155460968,1.9465875370920003,cat-8,Lower Manhattan,2.393212,4.5933843
11 Ave & W 41 St,11 Ave & W 41 St,11 Ave,W 41 St,W 41 St,11 Ave,40.76030096000615,-73.99884221999699,0.1166954609707318,-0.40012612328541763,cat-12,Midtown,2.6955523,7.095088
E 15 St & 3 Ave,E 15 St & 3 Ave,E 15 St,3 Ave,E 15 St,3 Ave,40.734231999994954,-73.98692300000566,-0.988050314465454,-1.3677570093457234,cat-12,Midtown,3.063712,7.0344353
Lafayette St & Jersey St,Lafayette St & Jersey St,Lafayette St,Jersey St,Lafayette St,N.A.,40.72430527250799,-73.99600982666016,-1.4677571563383935,-1.543820933165307,cat-8,Lower Manhattan,2.8727913,4.161444
2 Ave & E 31 St,2 Ave & E 31 St,2 Ave,E 31 St,E 31 St,2 Ave,40.74290901999461,-73.97706057998992,-2.3809072230124,-1.8634757468680618,cat-12,Midtown,3.3178165,6.5520372
E 25 St & 2 Ave,E 25 St & 2 Ave,E 25 St,2 Ave,E 25 St,2 Ave,40.73912601000508,-73.97973775999078,-3.1413885813697107,-3.4190583682682245,cat-12,Midtown,2.9126534,7.15576
E 20 St & 2 Ave,E 20 St & 2 Ave,E 20 St,2 Ave,E 20 St,2 Ave,40.73587678000285,-73.98205027000431,-3.171451229183276,-2.3322742474915685,cat-12,Midtown,3.0996664,6.4254265
Lexington Ave & E 26 St,Lexington Ave & E 26 St,Lexington Ave,E 26 St,E 26 St,Lexington Ave,40.741459000004646,-73.98329300001038,-2.577008928571331,-2.036595327560917,cat-12,Midtown,2.0363202,4.422891
5 Ave & E 88 St,5 Ave & E 88 St,5 Ave,E 88 St,E 88 St,5 Ave,40.78307000000346,-73.9593899999907,1.5205676020407282,1.7225775503677596,cat-9,Upper West Side,2.5103686,6.862817
Mott St & Prince St,Mott St & Prince St,Mott St,Prince St,Mott St,N.A.,40.72317958000302,-73.9948001200067,-2.5534027221776796,-2.2117721319236807,cat-8,Lower Manhattan,2.7571537,6.777419
Mercer St & Bleecker St,Mercer St & Bleecker St,Mercer St,Bleecker St,Mercer St,N.A.,40.727063633478515,-73.99662137031554,-0.8095771941063958,-0.5321553645335371,cat-8,Lower Manhattan,5.3346996,4.6380854
E 23 St & 1 Ave,E 23 St & 1 Ave,E 23 St,1 Ave,E 23 St,1 Ave,40.73650200000678,-73.97809471999393,-0.1844051446944377,-0.8725726207671869,cat-12,Midtown,7.51415,-10.477142
W 52 St & 6 Ave,W 52 St & 6 Ave,W 52 St,6 Ave,W 52 St,6 Ave,40.76132983124279,-73.97982001304626,2.8148327678138685,1.2439092691122369,cat-12,Midtown,6.8094254,-10.284331
1 Ave & E 18 St,1 Ave & E 18 St,1 Ave,E 18 St,E 18 St,1 Ave,40.733812191961974,-73.9805442094803,-3.405414167612207,-2.9637188208616863,cat-12,Midtown,2.2129407,4.3800044
South St & Gouverneur Ln,South St & Gouverneur Ln,South St,Gouverneur Ln,South St,N.A.,40.70355376999944,-74.00670227000619,1.693263570961335,1.0787427090083384,cat-8,Lower Manhattan,1.419683,5.1997623
E 11 St & 1 Ave,E 11 St & 1 Ave,E 11 St,1 Ave,E 11 St,1 Ave,40.72953837000394,-73.98426726000515,-3.1964900770869917,-3.664491484959399,cat-8,Lower Manhattan,3.6732671,7.194968
W 25 St & 6 Ave,W 25 St & 6 Ave,W 25 St,6 Ave,W 25 St,6 Ave,40.74395410999566,-73.9914487099908,-1.5015658480303955,-1.160555004955313,cat-12,Midtown,0.8591886,3.8804073
9 Ave & W 18 St,9 Ave & W 18 St,9 Ave,W 18 St,W 18 St,9 Ave,40.74317448999656,-74.00366442999822,-0.2570294409526923,-0.8957338165046167,cat-8,Lower Manhattan,0.78933424,3.7049916
St Marks Pl & 2 Ave,St Marks Pl & 2 Ave,St Marks Pl,2 Ave,N.A.,2 Ave,40.728418599996075,-73.98713955999446,-2.0375890048021574,-2.5650329877473723,cat-8,Lower Manhattan,0.920885,3.558796
W 16 St & The High Line,W 16 St & The High Line,W 16 St,The High Line,W 16 St,N.A.,40.74334934999936,-74.00681753000887,-0.7337651552898024,-1.0092268533248898,cat-8,Lower Manhattan,1.1668613,2.8290439
E 2 St & Avenue B,E 2 St & Avenue B,E 2 St,Avenue B,E 2 St,N.A.,40.7221744399944,-73.9836877899953,-4.342433827201603,-4.247041420118421,cat-8,Lower Manhattan,1.4538138,3.0558686
W 52 St & 5 Ave,W 52 St & 5 Ave,W 52 St,5 Ave,W 52 St,5 Ave,40.75992261999685,-73.97648516000395,1.0867886520061347,0.9511480214948733,cat-12,Midtown,1.9133797,2.9357195
E 4 St & 2 Ave,E 4 St & 2 Ave,E 4 St,2 Ave,E 4 St,2 Ave,40.726280700001986,-73.98978041000447,-2.4365746971736826,-2.8844759393539334,cat-8,Lower Manhattan,1.4805843,2.4804096
Forsyth St & Broome St,Forsyth St & Broome St,Forsyth St,Broome St,Forsyth St,N.A.,40.718939040001594,-73.9926628799918,-2.7035338090383902,-1.818288393903913,cat-8,Lower Manhattan,1.1335908,2.5295234
6 Ave & Canal St,6 Ave & Canal St,6 Ave,Canal St,Canal St,6 Ave,40.722437969997145,-74.00566442999322,-2.0491354220168887,-1.8979328165373772,cat-8,Lower Manhattan,0.6912554,3.3665538
W 20 St & 8 Ave,W 20 St & 8 Ave,W 20 St,8 Ave,W 20 St,8 Ave,40.743453350003804,-74.0000403100099,-0.0489774875409239,0.7448263451501589,cat-8,Lower Manhattan,7.37816,-9.685727
W Broadway & Spring Street,W Broadway & Spring Street,W Broadway,Spring Street,Spring Street,N.A.,40.724946723589206,-74.00165855884552,-0.9550929112181166,-1.7664743395080222,cat-8,Lower Manhattan,-15.495432,8.4307785
Metropolitan Ave & Bedford Ave,Metropolitan Ave & Bedford Ave,Metropolitan Ave,Bedford Ave,N.A.,Metropolitan Ave,40.71534824999981,-73.9602411600052,-3.875648564510584,-4.023620689655218,cat-4,North Brooklyn,-19.041103,7.733117
5 Ave & E 29 St,5 Ave & E 29 St,5 Ave,E 29 St,E 29 St,5 Ave,40.7451676999979,-73.9868307699943,0.036011080332400525,-0.626257370794292,cat-12,Midtown,-8.59938,5.7204876
E 2 St & Avenue A,E 2 St & Avenue A,E 2 St,Avenue A,E 2 St,N.A.,40.72307749069102,-73.98583620786667,-2.290159944367133,-2.544799866019048,cat-8,Lower Manhattan,-13.719512,8.265036
11 Ave & W 59 St,11 Ave & W 59 St,11 Ave,W 59 St,W 59 St,11 Ave,40.77149671054253,-73.99046033620834,-0.09398430688747794,-0.3326969802151325,cat-12,Midtown,-14.005077,8.525305
E 20 St & FDR Drive,E 20 St & FDR Drive,E 20 St,FDR Drive,E 20 St,N.A.,40.733142590003084,-73.97573881000831,-1.0330708661417702,-0.5818397024011119,cat-12,Midtown,-14.178815,8.671994
E 31 St & 3 Ave,E 31 St & 3 Ave,E 31 St,3 Ave,E 31 St,3 Ave,40.74394313999839,-73.97966069000448,-2.410642394538854,-2.428493943229114,cat-12,Midtown,-14.830693,8.475372
Allen St & Rivington St,Allen St & Rivington St,Allen St,Rivington St,Allen St,N.A.,40.720195759996635,-73.98997824999971,-3.003173483780074,-2.6526093832367224,cat-8,Lower Manhattan,-14.827706,8.6085615
W 20 St & 7 Ave,W 20 St & 7 Ave,W 20 St,7 Ave,W 20 St,7 Ave,40.74238787000446,-73.99726234999595,0.3767680339462913,0.7755461592671509,cat-8,Lower Manhattan,0.6708645,2.8088057
Kent Ave & N 7 St,Kent Ave & N 7 St,Kent Ave,N 7 St,N 7 St,Kent Ave,40.720367752982334,-73.96165072917937,-2.401804670912952,-2.6686065308761044,cat-4,North Brooklyn,8.044895,-9.459102
6 Ave & Broome St,6 Ave & Broome St,6 Ave,Broome St,Broome St,6 Ave,40.72430832160174,-74.00473035871983,-0.7158789166223869,-0.7851365015167175,cat-8,Lower Manhattan,3.844754,-4.828489
Clinton St & Grand St,Clinton St & Grand St,Clinton St,Grand St,Clinton St,N.A.,40.71559509000338,-73.98702950000077,2.030774736088688,1.024691358024711,cat-8,Lower Manhattan,8.071401,-10.172313
E 33 St & 5 Ave,E 33 St & 5 Ave,E 33 St,5 Ave,E 33 St,5 Ave,40.74765947000462,-73.98490707000018,-0.5311827956988964,-0.7541920029482299,cat-12,Midtown,8.621465,-10.290343
E 20 St & Park Ave,E 20 St & Park Ave,E 20 St,Park Ave,E 20 St,Park Ave,40.738274280003054,-73.98751967999858,-0.6259225922592577,-0.6245293168369699,cat-12,Midtown,-5.288106,1.4872447
LaGuardia Pl & W 3 St,LaGuardia Pl & W 3 St,LaGuardia Pl,W 3 St,W 3 St,N.A.,40.72917025000153,-73.99810230999746,-1.711815561959611,-2.175111111111164,cat-8,Lower Manhattan,-4.8252354,0.95698977
Norfolk St & Broome St,Norfolk St & Broome St,Norfolk St,Broome St,Norfolk St,N.A.,40.717227399996375,-73.98802083999858,-0.4809049773755305,-0.9325309992705115,cat-8,Lower Manhattan,-9.852308,6.1470966
W 26 St & 10 Ave,W 26 St & 10 Ave,W 26 St,10 Ave,W 26 St,10 Ave,40.74971775300178,-74.00295034599586,-0.3208197315923371,-0.6967935165610015,cat-8,Lower Manhattan,-9.77206,6.315543
Mercer St & Spring St,Mercer St & Spring St,Mercer St,Spring St,Mercer St,N.A.,40.72362738000171,-73.99949601000164,-1.8974963715529611,-2.1058944482522293,cat-8,Lower Manhattan,8.792143,-9.622099
E 2 St & 2 Ave,E 2 St & 2 Ave,E 2 St,2 Ave,E 2 St,2 Ave,40.72502876000309,-73.99069656000565,-2.6133599564350334,-1.9711087035029777,cat-8,Lower Manhattan,-14.509684,8.058253
8 Ave & W 52 St,8 Ave & W 52 St,8 Ave,W 52 St,W 52 St,8 Ave,40.763707389997364,-73.98516149999456,-0.0712723295662272,0.563120823550662,cat-12,Midtown,8.548101,-9.301409
W 13 St & 7 Ave,W 13 St & 7 Ave,W 13 St,7 Ave,W 13 St,7 Ave,40.737815089996396,-73.99994661000807,-0.0388828039431246,0.6433425160698789,cat-8,Lower Manhattan,6.275717,-9.221679
Allen St & Hester St,Allen St & Hester St,Allen St,Hester St,Allen St,N.A.,40.71605866000111,-73.99190759000683,-3.188174995423651,-2.6410209662717534,cat-8,Lower Manhattan,7.4383836,-9.954406
Forsyth St & Canal St,Forsyth St & Canal St,Forsyth St,Canal St,Forsyth St,N.A.,40.715815500004865,-73.99422365999315,0.5111111111111768,-0.09056261343016558,cat-8,Lower Manhattan,-9.919594,4.5169225
E 58 St & 3 Ave,E 58 St & 3 Ave,E 58 St,3 Ave,E 58 St,3 Ave,40.760957560005075,-73.96724467000895,0.8174121111724162,1.2773308957953304,cat-11,Upper East Side,-10.280135,5.060187
Broadway & Battery Pl,Broadway & Battery Pl,Broadway,Battery Pl,N.A.,N.A.,40.70463334000456,-74.01361705999152,0.8961325966849927,1.567530224524944,cat-8,Lower Manhattan,-11.96045,5.3005557
